filepath,label,source_id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0012.jpg,0,0012,4.7886553,10.542121,255.0,0.0063733878,2453.4219,0.038783334,34.059803,12.828442,35.654587,2453.4219,49.53203,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0013.jpg,0,0013,4.783368,10.5379305,255.0,0.006379824,2414.9788,0.037885416,34.043903,13.089502,36.0998,2414.9788,49.142433,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\genuine\genuine_0014.jpg,0,0014,4.7872233,10.53606,255.0,0.0063528153,2388.1787,0.038685415,34.024883,12.507264,35.208927,2388.1787,48.868996,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0000_0.jpg,1,0000,0.8058619,6.243053,255.0,0.0018242126,6430.1704,0.17090625,36.72911,18.998158,47.27824,6430.1704,80.18835,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0000_1.jpg,1,0000,0.8025149,6.238044,255.0,0.0018210339,6418.8096,0.17055,36.912807,19.03057,47.456203,6418.8096,80.11747,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0000_2.jpg,1,0000,1.0396929,6.98795,255.0,0.0022931728,6425.3965,0.16834584,37.18509,19.311808,48.072224,6425.3965,80.15857,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0000_3.jpg,1,0000,1.4916,8.634091,255.0,0.0016909124,6640.2607,0.17211458,35.8752,19.540089,47.568718,6640.2607,81.48779,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0001_0.jpg,1,0001,0.17305654,3.9444842,255.0,0.0021640372,2335.0881,0.037054166,27.877691,12.929541,35.31592,2335.0881,48.32275,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0001_1.jpg,1,0001,0.15110195,3.7419937,255.0,0.0018236113,2410.7214,0.036752082,33.800804,12.910125,35.476868,2410.7214,49.0991,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0001_2.jpg,1,0001,0.19718456,3.0131226,255.0,0.00037927256,2413.558,0.037045833,33.91106,12.943568,35.548256,2413.558,49.12798,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0001_3.jpg,1,0001,0.45201775,5.122082,255.0,0.005337859,2388.981,0.0370625,30.858345,14.360369,35.42669,2388.981,48.8772,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0002_0.jpg,1,0002,0.17137836,3.9898453,255.0,0.0021025492,2394.9617,0.03789375,34.11181,13.457535,36.37782,2394.9617,48.938347,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0002_1.jpg,1,0002,0.15187307,3.765231,255.0,0.0018271742,2409.8108,0.037285417,33.85745,13.444066,36.586533,2409.8108,49.089825,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0002_2.jpg,1,0002,0.17706266,3.1392026,254.0,0.00086428167,2438.4717,0.03739375,32.667427,13.400788,36.57037,2438.4717,49.380886,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0002_3.jpg,1,0002,0.3326495,4.5411835,255.0,0.0030934848,2444.1426,0.038558334,30.627974,13.777827,36.843163,2444.1426,49.43827,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0003_0.jpg,1,0003,0.18256372,4.0814757,255.0,0.0022757503,2452.698,0.039179165,34.10411,13.4798765,33.33876,2452.698,49.52472,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0003_1.jpg,1,0003,0.15138073,3.7431226,255.0,0.0018324611,2408.7607,0.03656875,33.737846,13.409793,33.357464,2408.7607,49.07913,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0003_2.jpg,1,0003,0.1542918,3.7884812,255.0,0.0018590102,2387.4973,0.036566667,33.756207,13.441202,33.990917,2387.4973,48.862022,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0003_3.jpg,1,0003,0.36913708,4.6113067,255.0,0.004212109,2391.921,0.037310418,29.550722,14.704766,33.081467,2391.921,48.90727,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0004_0.jpg,1,0004,0.16688617,3.91477,255.0,0.002019339,2369.9229,0.03808125,34.072834,14.794061,39.00976,2369.9229,48.681854,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0004_1.jpg,1,0004,0.14712979,3.6927843,255.0,0.0017649966,2375.5576,0.035764582,33.512787,14.838407,39.374466,2375.5576,48.739693,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0004_2.jpg,1,0004,0.15135527,3.7592173,255.0,0.001805912,2427.436,0.038083334,33.975964,14.849004,39.364063,2427.436,49.269016,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0004_3.jpg,1,0004,0.45616537,6.271234,255.0,0.0059353854,2438.362,0.03949375,29.236357,16.127842,39.327023,2438.362,49.379772,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0005_0.jpg,1,0005,0.1712273,3.9078813,255.0,0.0021557622,2167.6423,0.035814583,34.065464,13.103891,35.491962,2167.6423,46.557945,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0005_1.jpg,1,0005,0.15227306,3.7547348,255.0,0.001845908,2241.3716,0.038179167,33.83014,13.340093,37.349648,2241.3716,47.343124,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0005_2.jpg,1,0005,0.4731375,5.3151264,255.0,0.0062738573,2420.0735,0.03915417,33.86949,13.554892,37.402897,2420.0735,49.194244,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0005_3.jpg,1,0005,0.3302057,4.5328007,255.0,0.003050041,2432.4163,0.039991666,30.636175,13.916615,37.825962,2432.4163,49.31953,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0006_0.jpg,1,0006,0.18804915,4.190515,255.0,0.0022673602,2912.2349,0.042702083,34.109974,16.54791,40.873455,2912.2349,53.965126,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0006_1.jpg,1,0006,0.15729746,3.824398,255.0,0.0019069364,2478.9104,0.03737708,33.938957,15.802287,37.989876,2478.9104,49.78866,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0006_2.jpg,1,0006,0.15414909,3.7843804,255.0,0.0018656761,2453.2444,0.037664585,33.940422,15.9081955,40.75663,2453.2444,49.53024,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0006_3.jpg,1,0006,0.38643402,5.197908,255.0,0.005738164,2485.6216,0.038935415,29.233637,16.992592,37.92017,2485.6216,49.85601,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0007_0.jpg,1,0007,0.76640034,8.335153,255.0,0.0095197,1999.9148,0.0429375,28.07702,49.57522,45.706192,1999.9148,44.720406,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0007_1.jpg,1,0007,0.76727146,8.347692,255.0,0.009448401,2041.283,0.042666666,27.919497,49.568974,45.585922,2041.283,45.18056,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0007_2.jpg,1,0007,0.7595592,8.3133955,255.0,0.009346546,2046.3824,0.042220835,27.948345,49.61425,46.33235,2046.3824,45.236958,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0007_3.jpg,1,0007,1.888897,11.771456,255.0,0.02707255,1745.3447,0.043327082,27.169607,50.002533,45.126183,1745.3447,41.777325,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0008_0.jpg,1,0008,3.6123154,14.535904,254.0,0.024272533,1901.9902,0.1517625,30.31318,53.13254,34.027943,1901.9902,43.611813,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0008_1.jpg,1,0008,3.4618976,14.215459,254.0,0.022903869,1848.1061,0.14746459,29.724062,52.675434,33.59433,1848.1061,42.989605,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0008_2.jpg,1,0008,3.5400555,14.347464,254.0,0.023435961,1875.0851,0.15449375,29.724375,52.781742,34.23831,1875.0851,43.302254,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0008_3.jpg,1,0008,5.0353465,18.240345,255.0,0.0415301,2022.1212,0.16513541,28.407045,53.04697,33.71245,2022.1212,44.968002,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0009_0.jpg,1,0009,1.0490237,8.135519,255.0,0.010399833,2212.4802,0.09611875,41.035088,29.110048,45.35868,2212.4802,47.03701,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0009_1.jpg,1,0009,1.0383863,8.089517,255.0,0.010375538,2160.6575,0.09202083,40.746765,29.071463,45.533386,2160.6575,46.482872,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0009_2.jpg,1,0009,1.0541946,8.148344,255.0,0.010502568,2216.6753,0.09526875,40.91382,29.08289,45.65862,2216.6753,47.08158,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0009_3.jpg,1,0009,1.8897251,10.943401,255.0,0.018560322,1801.6643,0.088054165,52.021633,22.581322,45.833275,1801.6643,42.446014,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0010_0.jpg,1,0010,0.632427,4.6887465,255.0,0.0012933847,2631.6477,0.04875625,33.641296,54.42437,35.82245,2631.6477,51.299587,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0010_1.jpg,1,0010,0.6025511,4.5960474,255.0,0.0012671803,2611.6355,0.047670834,33.53029,53.717945,35.72203,2611.6355,51.104164,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0010_2.jpg,1,0010,0.61415404,4.6316676,255.0,0.0012758573,2623.7917,0.04824375,33.539764,53.728905,35.745735,2623.7917,51.22296,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0010_3.jpg,1,0010,1.0058643,5.9346795,255.0,0.001272213,2621.2354,0.047439583,36.785213,54.13184,35.801807,2621.2354,51.198,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0011_0.jpg,1,0011,0.15625232,3.7869866,255.0,0.0019098097,2426.2117,0.036895834,33.822937,12.526506,34.76379,2426.2117,49.256588,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0011_1.jpg,1,0011,0.15247664,3.754985,255.0,0.0018500455,2354.2415,0.036966667,33.81033,12.537744,34.667133,2354.2415,48.520527,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0011_2.jpg,1,0011,0.14950563,3.7275517,255.0,0.0018040731,2401.8325,0.03776875,32.811867,12.565748,36.17984,2401.8325,49.00849,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0011_3.jpg,1,0011,0.33224857,4.54122,255.0,0.003091416,2471.45,0.038425,30.553831,13.035791,35.044933,2471.45,49.71368,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0012_0.jpg,1,0012,0.15889727,3.8224924,255.0,0.001947507,2383.5835,0.037583333,33.85526,12.911234,35.34914,2383.5835,48.821957,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0012_1.jpg,1,0012,0.15177128,3.7558098,255.0,0.0018351044,2457.1753,0.037827082,33.808395,13.035273,35.64753,2457.1753,49.569904,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0012_2.jpg,1,0012,0.14322485,3.6369781,255.0,0.0017510898,2401.6577,0.039220832,33.77196,13.060287,38.59004,2401.6577,49.00671,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0012_3.jpg,1,0012,0.33259395,4.554658,255.0,0.0030155615,2483.7903,0.039179165,30.633307,13.401535,35.90498,2483.7903,49.83764,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0013_0.jpg,1,0013,0.13470474,3.1161227,255.0,0.0019076259,2111.1626,0.034304168,36.932053,12.803396,34.4769,2111.1626,45.94739,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0013_1.jpg,1,0013,0.15572199,3.8148546,255.0,0.0018600445,2418.7712,0.037027083,33.842712,13.296632,36.093918,2418.7712,49.181004,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0013_2.jpg,1,0013,0.16844007,3.9621606,255.0,0.0020300276,2418.7512,0.03703958,33.841125,13.295781,36.104046,2418.7512,49.1808,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0013_3.jpg,1,0013,0.5464838,6.182806,255.0,0.007902431,2375.367,0.036889583,30.851767,14.511414,35.993893,2375.367,48.737736,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0014_0.jpg,1,0014,0.13845763,2.997734,255.0,0.0010216223,2636.9333,0.04115,31.018837,13.403703,37.34703,2636.9333,51.351078,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0014_1.jpg,1,0014,0.15576237,3.8039453,255.0,0.0018898117,2365.4976,0.037952084,33.68358,12.724192,35.123016,2365.4976,48.636383,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0014_2.jpg,1,0014,0.15293035,3.776952,255.0,0.001847632,2376.4773,0.037891667,33.768444,12.755335,39.64402,2376.4773,48.749126,800.0,600.0,1.3333334
c:\Users\subha\OneDrive\Desktop\ela\data\tampered\tampered_0014_3.jpg,1,0014,0.35521454,4.512846,255.0,0.0040722378,2375.027,0.038620833,29.556826,13.965091,34.922276,2375.027,48.73425,800.0,600.0,1.3333334
